取得日,企業,証券コード・ティッカー,企業関与,企業関与信頼度,テーマ,材料,事業進展スコア,株価反応1日,株価反応5日,株価反応20日,未織り込みギャップ,株価,時価総額,PER,PBR,PSR,EV/EBITDA,EPS,EPS成長率,EPS成長判定,売上成長率,営業利益成長率,ROE,ROIC,営業CF,FCF,配当利回り,配当性向,利益品質,バリュエーション整合性,データ品質,データ基準日,決算期,指標基準,取得元,整合性チェック,リスク,タイトル,公開日時,URL
2026-09-21,NVIDIA Corporation,NVDA,直接候補,0.92,光通信,大型受注,46,,,,38.3,222.27000427246094,5367153793167.114,45.36122536172672,34.34386898233164,24.855068552858295,36.77318745618957,4.9,66.66666666666667,通常成長率,65.47353579009479,60.076363055995486,101.4850815653791,104.6318140841013,102718000000.0,96676000000.0,,,一時要因あり・要確認,OK,83.3,2026-09-21,2026-01-31,直近年次決算ベース（株価のみ最新）,Google News RSS; Yahoo Finance/yfinance,OK,利益品質:一時要因あり・要確認,Google follows Nvidia's lead with ‘large orders’ for optical interconnects: report - SDxCentral,2026-03-09T16:00:00+09:00,https://news.google.com/rss/articles/CBMisAFBVV95cUxOLXJLa2lxMzFyd1VWZHRuYkp6MF9zRVlWaDVhOWhPczFvQUNoSGMySFZEV1JSVTJoTWFMcEI0Q1AzUjJlWXl1dTFwQ093d2Z5NDNVY2Q2c3FUZkFrZ0U1VnZaM3E2ZHcxSklMblNxRnN0UHV5WmRjbmpTWFFMVEVXSTdqdk9RTlJleVV6M1gwTTNnYmk0NU1nVE1Xb3VJUXB5ZVhsdEVyU3ZiZTExWVlrbg?oc=5
2026-09-21,NVIDIA Corporation,NVDA,直接候補,0.92,光通信,量産・生産開始,44,,,,36.7,222.27000427246094,5367153793167.114,45.36122536172672,34.34386898233164,24.855068552858295,36.77318745618957,4.9,66.66666666666667,通常成長率,65.47353579009479,60.076363055995486,101.4850815653791,104.6318140841013,102718000000.0,96676000000.0,,,一時要因あり・要確認,OK,83.3,2026-09-21,2026-01-31,直近年次決算ベース（株価のみ最新）,Google News RSS; Yahoo Finance/yfinance,OK,利益品質:一時要因あり・要確認,NVIDIA CPO Enters Mass Production: The Next Big AI Networking Boom - KuCoin,2026-08-04T16:00:00+09:00,https://news.google.com/rss/articles/CBMie0FVX3lxTE9qbG5TUl83NGN5UjhYN25rWVVpbzVCLUJGX2xBYW1PMmxlN1YxSncyNmpoOUhGVE5GUEZOWXF1ODhvVFdyZGpvTlpoMDI2dVZ4WkpaMjZVdXozbGVrYkJTc3lfMGtSYXAyak5pdHBYMHZuOVNudXcwUnV2aw?oc=5
2026-09-21,NVIDIA Corporation,NVDA,直接候補,0.92,光通信,量産・生産開始,44,,,,36.7,222.27000427246094,5367153793167.114,45.36122536172672,34.34386898233164,24.855068552858295,36.77318745618957,4.9,66.66666666666667,通常成長率,65.47353579009479,60.076363055995486,101.4850815653791,104.6318140841013,102718000000.0,96676000000.0,,,一時要因あり・要確認,OK,83.3,2026-09-21,2026-01-31,直近年次決算ベース（株価のみ最新）,Google News RSS; Yahoo Finance/yfinance,OK,利益品質:一時要因あり・要確認,"Nvidia's CPO Switches Enter Full Mass Production; TSMC, Foxconn Lead Supply Chain Positioning - finance.biggo.com",2026-08-14T16:00:00+09:00,https://news.google.com/rss/articles/CBMidkFVX3lxTE5PZDFWeWJCRzlWMWJTUnFQZ054MDZjWjBnUHd4dVlBVjJZTXoyOURzUjNtMWlrdU1scWZSNGxPd2lOeVllQk9MNEwyOHJ6ajc4UjFyb21qV2MtSzRISWpXLXU3U3lLSWNQSFJQdlR6UWxRa2VTOUE?oc=5
2026-09-21,NVIDIA Corporation,NVDA,直接候補,0.92,光通信,大企業との提携,40,,,,33.3,222.27000427246094,5367153793167.114,45.36122536172672,34.34386898233164,24.855068552858295,36.77318745618957,4.9,66.66666666666667,通常成長率,65.47353579009479,60.076363055995486,101.4850815653791,104.6318140841013,102718000000.0,96676000000.0,,,一時要因あり・要確認,OK,83.3,2026-09-21,2026-01-31,直近年次決算ベース（株価のみ最新）,Google News RSS; Yahoo Finance/yfinance,OK,利益品質:一時要因あり・要確認,How Industry Collaboration Fosters NVIDIA Co-Packaged Optics | NVIDIA Technical Blog - NVIDIA Developer,2025-08-26T16:00:00+09:00,https://news.google.com/rss/articles/CBMimwFBVV95cUxOaEFTa195NnhaenFKSVN2eGQyVU1JTFZhd2xyTUNsRk9FeWxuUERWMGpDdmVWNGphN3ZzajdjUkJDcWpabGtzSkhaRjZiZk5WTFpNZ1hBRllHd2txbFJ3ZGNWal9XSmlEdVE0T0Rsam13RlhNOGFDQlQtOTd4MzRKdXRrV3dscVFIU0dIemprWjJhQk5MRF90ZDd4WQ?oc=5
2026-09-21,NVIDIA Corporation,NVDA,直接候補,0.92,光通信,特許・技術,28,,,,23.3,222.27000427246094,5367153793167.114,45.36122536172672,34.34386898233164,24.855068552858295,36.77318745618957,4.9,66.66666666666667,通常成長率,65.47353579009479,60.076363055995486,101.4850815653791,104.6318140841013,102718000000.0,96676000000.0,,,一時要因あり・要確認,OK,83.3,2026-09-21,2026-01-31,直近年次決算ベース（株価のみ最新）,Google News RSS; Yahoo Finance/yfinance,OK,利益品質:一時要因あり・要確認,A New Era in Data Center Networking with NVIDIA Silicon Photonics-based Network Switching | NVIDIA Technical Blog - NVIDIA Developer,2025-03-27T16:00:00+09:00,https://news.google.com/rss/articles/CBMiwgFBVV95cUxOc19DbjlsYXNqQzVSdWd6b0lmMkJIRm5CLThWRkdxcnY1bWszSWdyOGhIZFRGdFpXd2ZyQ0RPNzdhNEtwQmR2YVBJSUVCdW5ZdlRld1d5Ym8wY2hYbDVqZDFyYWJFVTVFMXJRVkFzcUQ0eDZNX2hXQ3F5SHBrLVNCZ0lEMjBmTG0xWEhxMmlyeU9EOUJaQ2VkS3l1TV9YaVBMTFoxUTBvQ0RCTmx2MlVHN2paX0swTllDRk5IZFAxMTRQZw?oc=5
2026-09-21,Aehr Test Systems,AEHR,直接候補,0.92,光通信,特許・技術,28,,,,21.0,93.48999786376953,3053340885.7716827,-406.4782515816066,13.833270909499909,61.06559640350559,-277.6655880308756,-0.23,,NA,-15.206552706552712,,-4.1626020059465745,-9.38404034148715,-3310000.0,-5376000.0,,,赤字・要注意,OK,75.0,2026-09-21,2026-05-31,直近年次決算ベース（株価のみ最新）,Google News RSS; Yahoo Finance/yfinance,OK,利益品質:赤字・要注意,Aehr Receives Follow-On Order from Major Silicon Photonics Customer for Fully Automated Wafer-Level Burn-In System for Hyperscale Data Center Optical Interconnect - Aehr Test Systems,2026-06-17T16:00:00+09:00,https://news.google.com/rss/articles/CBMinAJBVV95cUxNVUV6R1c4MzZkcmNqYkh3MU9jZFRkZjJWRlJva1BNeUJyQjRrRnA2ZVFXaGxYNnZkeUlIeU5qclZjQ2NyOTBOR0kzZFhaamY2bmptNUFpZzltc2VVQ3JmTkZUVS1PSHZxVGVoYm5zdDQ5QTQ0cDdxZW9nMERXejVHMll1aDF4QUtYVjNxUUJXY1BzYU9oNkVicDRFeVFjMG42TFRMS0RhNV9TNDBJbXd6cGhnWEZYbFNRdW5LNVhXenVhSXV3YzVFUGYxaERGblZCX2JpNFNMWjJuaG10Z2VXOWt2Rk5UWTdBcGdnVFRRZ0VISkdZMFZobmR3OV9TMzRuY0RkNU9ta2xxRmR4R1hQQmdEVFYxanE2NUJweQ?oc=5
2026-09-21,"Marvell Technology, Inc.",MRVL,直接候補,0.92,光通信,特許・技術,28,,,,21.0,244.25,219508601725.25,79.56026058631922,14.46305926377163,26.786981881391405,48.82596187612891,3.07,,赤字→黒字転換,42.08728521145078,,19.25409404587639,7.126410325271662,1750500000.0,1391900000.0,,,暫定良好,OK,75.0,2026-09-21,2026-01-31,直近年次決算ベース（株価のみ最新）,Google News RSS; Yahoo Finance/yfinance,OK,財務データ未取得,"Marvell Announces Acquisition of Polariton Technologies, Advancing Optical Performance Scaling to 3.2T and Beyond - Marvell Technology",2026-04-22T16:00:00+09:00,https://news.google.com/rss/articles/CBMijAJBVV95cUxNRWVodWFvMkhfY2gxbUI0blZCcTZlSUhXNTZPcDd5SUNxRmZpVzVIcDl4aG1CZ3o4NlpLX2dDRTFHYV85U0pnSjd2cTBZOVh0RDdNQktTRWFsQ19rTHRWS255UGN2NGpCdFY2aGxkRzdydTJEOVRrcE4zeEFCbjJJZDBmWkZBT0d2cjkzY2NBckdmTEF6THZMdENaOFNlamNoSlZ5RF9kWExYMVRTYVhJTkZoU0YtSUpyaGhPQXlnOUNlcEx0aFhlbm9XQWN4OFVVeHVSM1k2MWdxMEtpQzMtdmxaUy01S3Z2MjZZanc3OE1SR0ZXNEUxYzBNVldlS3Z6SUFVdTdVZ1JrRUVp?oc=5
2026-09-21,NVIDIA Corporation,NVDA,関与候補,0.74,光通信,特許・技術,22,,,,18.3,222.27000427246094,5367153793167.114,45.36122536172672,34.34386898233164,24.855068552858295,36.77318745618957,4.9,66.66666666666667,通常成長率,65.47353579009479,60.076363055995486,101.4850815653791,104.6318140841013,102718000000.0,96676000000.0,,,一時要因あり・要確認,OK,83.3,2026-09-21,2026-01-31,直近年次決算ベース（株価のみ最新）,Google News RSS; Yahoo Finance/yfinance,OK,利益品質:一時要因あり・要確認,"Nvidia's Optical Interconnect Executive Defects to ams OSRAM, VCSEL CPO Route Directly Challenges Silicon Photonics Dominance - finance.biggo.com",2026-07-02T16:00:00+09:00,https://news.google.com/rss/articles/CBMidkFVX3lxTE1NT1pDaUxYRjFXQks4UDYtLWJnMGJHNzJzYlV1R2M5X25jaFdKWU5jMkJicTMzM21DMTJhb0F3d2NYSktiNU9Ub0dNMlo5QnZ2UjBOVHd4VTUzNkxGTi12NEUtbHRQbXJheGdFVm01WlBOcjhEU0E?oc=5
2026-09-21,Coherent Corp.,COHR,関与候補,0.74,光通信,特許・技術,22,,,,18.3,317.3599853515625,62149318721.923584,77.02912265814624,5.697632108021094,8.731067490686677,40.836552923064424,4.12,,赤字→黒字転換,22.513599128416573,68.52548009428972,8.459740206512754,6.718732124723862,79514000.0,-1030569000.0,,,一時要因あり・要確認,OK,83.3,2026-09-21,2026-06-30,直近年次決算ベース（株価のみ最新）,Google News RSS; Yahoo Finance/yfinance,OK,利益品質:一時要因あり・要確認,"Coherent demonstrates industry first 400G/lane in Si-photonics, CPO platform diversity, and multi-rail scaling at OFC 2026 - fibre-systems.com",2026-05-06T01:29:56+09:00,https://news.google.com/rss/articles/CBMiwwFBVV95cUxPNmprUERaRko1TGZ2S3AtQ0xnTU95TkNLSGVxR1hWbmlTemZOSm5Uc3J3RTVxakE1SnpaRHdZYlZOV1V5NEczclNvbEpOOE1Qa085cjh0azJTb18tUzB3U2NRUUhsUExaam5GVEZJY1huSGRQU2M2NlNibDdpSkVWSEJwYkJRZ2hNdnVMWWotV2phMVUxa1MwdVFCQ0laUW9yWlZiRm9sUFdYTDVQOUh6TGZSTEgzRXhZTG5qOE42YTNzZnM?oc=5
2026-09-21,NVIDIA Corporation,NVDA,関与候補,0.74,光通信,特許・技術,22,,,,18.3,222.27000427246094,5367153793167.114,45.36122536172672,34.34386898233164,24.855068552858295,36.77318745618957,4.9,66.66666666666667,通常成長率,65.47353579009479,60.076363055995486,101.4850815653791,104.6318140841013,102718000000.0,96676000000.0,,,一時要因あり・要確認,OK,83.3,2026-09-21,2026-01-31,直近年次決算ベース（株価のみ最新）,Google News RSS; Yahoo Finance/yfinance,OK,利益品質:一時要因あり・要確認,AI Interconnect Outlook: NVIDIA Leads the Transition to CPO and Silicon Photonics Architectures - TrendForce,2026-04-16T16:00:00+09:00,https://news.google.com/rss/articles/CBMiZkFVX3lxTFBRd2hoTmd6eVNoMW5RTkdwLXVLeDFHS2Nnb1JQUUNmdFVIOERnakhHRGFYV2RNQTZBSUM4YThSQURnZjdKVzEtZEx4TGZ1b1ZVQkdsU1hhQV9qRmR5c1FSSnpRN3BSdw?oc=5
