取得日,企業,市場,証券コード・ティッカー,企業規模区分,企業関与,企業関与信頼度,テーマ,材料,事業進展スコア,株価反応1日,株価反応5日,株価反応20日,未織り込みギャップ,株価,時価総額,PER,PBR,PSR,EV/EBITDA,EPS,EPS前期,EPS成長率,EPS成長判定,売上,売上前期,売上成長率,営業利益,営業利益前期,営業利益成長率,営業利益率,純利益,純利益前期,純利益率,BPS,ROE,ROIC,営業CF,FCF,現金等,有利子負債,ネットキャッシュ,負債/株主資本,一時要因,配当利回り,配当性向,利益品質,バリュエーション整合性,データ品質,財務取得状態,データ基準日,決算期,指標基準,取得元,整合性チェック,リスク,タイトル,公開日時,URL
2026-09-22,NVIDIA Corporation,US,NVDA,大型,直接候補,0.92,光通信,量産・生産開始,44,-0.06662335798259811,-4.636703798012565,-6.306624941058214,44.0,227.3800048828125,5490544977905.273,46.40408262914541,35.13343657169661,25.42648805631836,37.6267985078399,4.9,2.94,66.66666666666667,通常成長率,215938000000.0,130497000000.0,65.47353579009479,130387000000.0,81453000000.0,60.076363055995486,60.38168363141272,120067000000.0,72880000000.0,55.60253406070261,6.4718976300197495,101.4850815653791,104.6318140841013,102718000000.0,96676000000.0,62556000000.0,11040000000.0,51516000000.0,7.018748450344262,Other Non Operating Income Expenses,0.2286920524379435,10.612244897959183,一時要因あり・要確認,OK,100.0,OK,2026-09-22,2026-01-31,直近年次決算ベース（株価のみ最新）,Google News RSS; Yahoo Finance/yfinance,OK,利益品質:一時要因あり・要確認,"Nvidia's CPO Switches Enter Full Mass Production; TSMC, Foxconn Lead Supply Chain Positioning - finance.biggo.com",2026-08-14T16:00:00+09:00,https://news.google.com/rss/articles/CBMidkFVX3lxTE5PZDFWeWJCRzlWMWJTUnFQZ054MDZjWjBnUHd4dVlBVjJZTXoyOURzUjNtMWlrdU1scWZSNGxPd2lOeVllQk9MNEwyOHJ6ajc4UjFyb21qV2MtSzRISWpXLXU3U3lLSWNQSFJQdlR6UWxRa2VTOUE?oc=5
2026-09-22,NVIDIA Corporation,US,NVDA,大型,直接候補,0.92,光通信,大型受注,46,,,,38.7,227.3800048828125,5490544977905.273,46.40408262914541,35.13343657169661,25.42648805631836,37.6267985078399,4.9,2.94,66.66666666666667,通常成長率,215938000000.0,130497000000.0,65.47353579009479,130387000000.0,81453000000.0,60.076363055995486,60.38168363141272,120067000000.0,72880000000.0,55.60253406070261,6.4718976300197495,101.4850815653791,104.6318140841013,102718000000.0,96676000000.0,62556000000.0,11040000000.0,51516000000.0,7.018748450344262,Other Non Operating Income Expenses,0.2286920524379435,10.612244897959183,一時要因あり・要確認,OK,84.2,OK,2026-09-22,2026-01-31,直近年次決算ベース（株価のみ最新）,Google News RSS; Yahoo Finance/yfinance,OK,利益品質:一時要因あり・要確認,Google follows Nvidia's lead with ‘large orders’ for optical interconnects: report - SDxCentral,2026-03-09T16:00:00+09:00,https://news.google.com/rss/articles/CBMisAFBVV95cUxOLXJLa2lxMzFyd1VWZHRuYkp6MF9zRVlWaDVhOWhPczFvQUNoSGMySFZEV1JSVTJoTWFMcEI0Q1AzUjJlWXl1dTFwQ093d2Z5NDNVY2Q2c3FUZkFrZ0U1VnZaM3E2ZHcxSklMblNxRnN0UHV5WmRjbmpTWFFMVEVXSTdqdk9RTlJleVV6M1gwTTNnYmk0NU1nVE1Xb3VJUXB5ZVhsdEVyU3ZiZTExWVlrbg?oc=5
2026-09-22,NVIDIA Corporation,US,NVDA,大型,直接候補,0.92,光通信,量産・生産開始,44,3.43493379986608,2.6233827944448063,2.595074047675605,36.9,227.3800048828125,5490544977905.273,46.40408262914541,35.13343657169661,25.42648805631836,37.6267985078399,4.9,2.94,66.66666666666667,通常成長率,215938000000.0,130497000000.0,65.47353579009479,130387000000.0,81453000000.0,60.076363055995486,60.38168363141272,120067000000.0,72880000000.0,55.60253406070261,6.4718976300197495,101.4850815653791,104.6318140841013,102718000000.0,96676000000.0,62556000000.0,11040000000.0,51516000000.0,7.018748450344262,Other Non Operating Income Expenses,0.2286920524379435,10.612244897959183,一時要因あり・要確認,OK,100.0,OK,2026-09-22,2026-01-31,直近年次決算ベース（株価のみ最新）,Google News RSS; Yahoo Finance/yfinance,OK,利益品質:一時要因あり・要確認,NVIDIA CPO Enters Mass Production: The Next Big AI Networking Boom - KuCoin,2026-08-04T16:00:00+09:00,https://news.google.com/rss/articles/CBMie0FVX3lxTE9qbG5TUl83NGN5UjhYN25rWVVpbzVCLUJGX2xBYW1PMmxlN1YxSncyNmpoOUhGVE5GUEZOWXF1ODhvVFdyZGpvTlpoMDI2dVZ4WkpaMjZVdXozbGVrYkJTc3lfMGtSYXAyak5pdHBYMHZuOVNudXcwUnV2aw?oc=5
2026-09-22,NVIDIA Corporation,US,NVDA,大型,直接候補,0.92,光通信,量産・生産開始,44,2.564848561465549,5.279715299232568,6.842818153026364,36.2,227.3800048828125,5490544977905.273,46.40408262914541,35.13343657169661,25.42648805631836,37.6267985078399,4.9,2.94,66.66666666666667,通常成長率,215938000000.0,130497000000.0,65.47353579009479,130387000000.0,81453000000.0,60.076363055995486,60.38168363141272,120067000000.0,72880000000.0,55.60253406070261,6.4718976300197495,101.4850815653791,104.6318140841013,102718000000.0,96676000000.0,62556000000.0,11040000000.0,51516000000.0,7.018748450344262,Other Non Operating Income Expenses,0.2286920524379435,10.612244897959183,一時要因あり・要確認,OK,100.0,OK,2026-09-22,2026-01-31,直近年次決算ベース（株価のみ最新）,Google News RSS; Yahoo Finance/yfinance,OK,利益品質:一時要因あり・要確認,NVIDIA Announces Mass Production of Co-Packaged Optics (CPO) - GuruFocus,2026-08-03T16:00:00+09:00,https://news.google.com/rss/articles/CBMinAFBVV95cUxQd1lya2RDX0pYVFlpLUhTUXdrclVfX29oSHlTU1hkZ1M2dmxrTFhrcjhuT3BZZ2hVdUlIZkVzSDNxM2hFYjJYSVZaekYzNkZlanh0R2ExTWxOZk1DOV9kNkxQeWl6RGFqaG0wRm51cHg0d1BwODRMRnB2YUpKUVpTNTctY201SXRsWnVrMGJ3VmpKemJZalpFZG1qVkM?oc=5
2026-09-22,NVIDIA Corporation,US,NVDA,大型,直接候補,0.92,光通信,大企業との提携,40,,,,33.7,227.3800048828125,5490544977905.273,46.40408262914541,35.13343657169661,25.42648805631836,37.6267985078399,4.9,2.94,66.66666666666667,通常成長率,215938000000.0,130497000000.0,65.47353579009479,130387000000.0,81453000000.0,60.076363055995486,60.38168363141272,120067000000.0,72880000000.0,55.60253406070261,6.4718976300197495,101.4850815653791,104.6318140841013,102718000000.0,96676000000.0,62556000000.0,11040000000.0,51516000000.0,7.018748450344262,Other Non Operating Income Expenses,0.2286920524379435,10.612244897959183,一時要因あり・要確認,OK,84.2,OK,2026-09-22,2026-01-31,直近年次決算ベース（株価のみ最新）,Google News RSS; Yahoo Finance/yfinance,OK,利益品質:一時要因あり・要確認,How Industry Collaboration Fosters NVIDIA Co-Packaged Optics | NVIDIA Technical Blog - NVIDIA Developer,2025-08-26T16:00:00+09:00,https://news.google.com/rss/articles/CBMimwFBVV95cUxOaEFTa195NnhaenFKSVN2eGQyVU1JTFZhd2xyTUNsRk9FeWxuUERWMGpDdmVWNGphN3ZzajdjUkJDcWpabGtzSkhaRjZiZk5WTFpNZ1hBRllHd2txbFJ3ZGNWal9XSmlEdVE0T0Rsam13RlhNOGFDQlQtOTd4MzRKdXRrV3dscVFIU0dIemprWjJhQk5MRF90ZDd4WQ?oc=5
2026-09-22,Aehr Test Systems,US,AEHR,小型〜中小型,直接候補,0.92,光通信,特許・技術,28,2.379684105679103,-12.280235743001189,-28.03232012510527,23.6,96.93000030517578,3165689803.7469025,-421.4347839355469,14.342271730856812,63.31252982434156,-288.25155976132123,-0.23,,,NA,50001000.0,58968000.0,-15.206552706552712,-14143000.0,-4813000.0,,-28.28543429131417,-7126000.0,-3910000.0,-14.251714965700685,6.758343596059113,-4.1626020059465745,-9.38404034148715,-3310000.0,-5376000.0,116358000.0,9882000.0,106476000.0,4.501824509933443,Other Non Operating Income Expenses,,,赤字・要注意,OK,84.2,OK,2026-09-22,2026-05-31,直近年次決算ベース（株価のみ最新）,Google News RSS; Yahoo Finance/yfinance,OK,利益品質:赤字・要注意,Aehr Receives Follow-On Order from Major Silicon Photonics Customer for Fully Automated Wafer-Level Burn-In System for Hyperscale Data Center Optical Interconnect - Aehr Test Systems,2026-06-17T16:00:00+09:00,https://news.google.com/rss/articles/CBMinAJBVV95cUxNVUV6R1c4MzZkcmNqYkh3MU9jZFRkZjJWRlJva1BNeUJyQjRrRnA2ZVFXaGxYNnZkeUlIeU5qclZjQ2NyOTBOR0kzZFhaamY2bmptNUFpZzltc2VVQ3JmTkZUVS1PSHZxVGVoYm5zdDQ5QTQ0cDdxZW9nMERXejVHMll1aDF4QUtYVjNxUUJXY1BzYU9oNkVicDRFeVFjMG42TFRMS0RhNV9TNDBJbXd6cGhnWEZYbFNRdW5LNVhXenVhSXV3YzVFUGYxaERGblZCX2JpNFNMWjJuaG10Z2VXOWt2Rk5UWTdBcGdnVFRRZ0VISkdZMFZobmR3OV9TMzRuY0RkNU9ta2xxRmR4R1hQQmdEVFYxanE2NUJweQ?oc=5
2026-09-22,NVIDIA Corporation,US,NVDA,大型,直接候補,0.92,光通信,特許・技術,28,,,,23.6,227.3800048828125,5490544977905.273,46.40408262914541,35.13343657169661,25.42648805631836,37.6267985078399,4.9,2.94,66.66666666666667,通常成長率,215938000000.0,130497000000.0,65.47353579009479,130387000000.0,81453000000.0,60.076363055995486,60.38168363141272,120067000000.0,72880000000.0,55.60253406070261,6.4718976300197495,101.4850815653791,104.6318140841013,102718000000.0,96676000000.0,62556000000.0,11040000000.0,51516000000.0,7.018748450344262,Other Non Operating Income Expenses,0.2286920524379435,10.612244897959183,一時要因あり・要確認,OK,84.2,OK,2026-09-22,2026-01-31,直近年次決算ベース（株価のみ最新）,Google News RSS; Yahoo Finance/yfinance,OK,利益品質:一時要因あり・要確認,A New Era in Data Center Networking with NVIDIA Silicon Photonics-based Network Switching | NVIDIA Technical Blog - NVIDIA Developer,2025-03-27T16:00:00+09:00,https://news.google.com/rss/articles/CBMiwgFBVV95cUxOc19DbjlsYXNqQzVSdWd6b0lmMkJIRm5CLThWRkdxcnY1bWszSWdyOGhIZFRGdFpXd2ZyQ0RPNzdhNEtwQmR2YVBJSUVCdW5ZdlRld1d5Ym8wY2hYbDVqZDFyYWJFVTVFMXJRVkFzcUQ0eDZNX2hXQ3F5SHBrLVNCZ0lEMjBmTG0xWEhxMmlyeU9EOUJaQ2VkS3l1TV9YaVBMTFoxUTBvQ0RCTmx2MlVHN2paX0swTllDRk5IZFAxMTRQZw?oc=5
2026-09-22,"Marvell Technology, Inc.",US,MRVL,大型,直接候補,0.92,光通信,特許・技術,28,5.237725559847783,-0.4767352943572778,18.73887258775937,19.4,257.3800048828125,231308597682.14612,83.83713514098127,15.240541510460384,28.226954052930726,51.425194431945485,3.07,-1.02,,赤字→黒字転換,8194600000.0,5767300000.0,42.08728521145078,1338400000.0,-366400000.0,,16.3327069045469,2670100000.0,-885000000.0,32.58365264930564,16.88785170173639,19.25409404587639,7.126410325271662,1750500000.0,1391900000.0,2638800000.0,4790300000.0,-2151500000.0,33.4789354505046,検出なし,0.0932473367965294,7.817589576547232,暫定良好,OK,94.7,OK,2026-09-22,2026-01-31,直近年次決算ベース（株価のみ最新）,Google News RSS; Yahoo Finance/yfinance,OK,財務データ未取得,"Marvell Announces Acquisition of Polariton Technologies, Advancing Optical Performance Scaling to 3.2T and Beyond - Marvell Technology",2026-04-22T16:00:00+09:00,https://news.google.com/rss/articles/CBMijAJBVV95cUxNRWVodWFvMkhfY2gxbUI0blZCcTZlSUhXNTZPcDd5SUNxRmZpVzVIcDl4aG1CZ3o4NlpLX2dDRTFHYV85U0pnSjd2cTBZOVh0RDdNQktTRWFsQ19rTHRWS255UGN2NGpCdFY2aGxkRzdydTJEOVRrcE4zeEFCbjJJZDBmWkZBT0d2cjkzY2NBckdmTEF6THZMdENaOFNlamNoSlZ5RF9kWExYMVRTYVhJTkZoU0YtSUpyaGhPQXlnOUNlcEx0aFhlbm9XQWN4OFVVeHVSM1k2MWdxMEtpQzMtdmxaUy01S3Z2MjZZanc3OE1SR0ZXNEUxYzBNVldlS3Z6SUFVdTdVZ1JrRUVp?oc=5
2026-09-22,NVIDIA Corporation,US,NVDA,大型,関与候補,0.74,光通信,特許・技術,22,1.6788436953854902,0.6503621106316304,18.85051587552522,19.0,227.3800048828125,5490544977905.273,46.40408262914541,35.13343657169661,25.42648805631836,37.6267985078399,4.9,2.94,66.66666666666667,通常成長率,215938000000.0,130497000000.0,65.47353579009479,130387000000.0,81453000000.0,60.076363055995486,60.38168363141272,120067000000.0,72880000000.0,55.60253406070261,6.4718976300197495,101.4850815653791,104.6318140841013,102718000000.0,96676000000.0,62556000000.0,11040000000.0,51516000000.0,7.018748450344262,Other Non Operating Income Expenses,0.2286920524379435,10.612244897959183,一時要因あり・要確認,OK,100.0,OK,2026-09-22,2026-01-31,直近年次決算ベース（株価のみ最新）,Google News RSS; Yahoo Finance/yfinance,OK,利益品質:一時要因あり・要確認,AI Interconnect Outlook: NVIDIA Leads the Transition to CPO and Silicon Photonics Architectures - TrendForce,2026-04-16T16:00:00+09:00,https://news.google.com/rss/articles/CBMiZkFVX3lxTFBRd2hoTmd6eVNoMW5RTkdwLXVLeDFHS2Nnb1JQUUNmdFVIOERnakhHRGFYV2RNQTZBSUM4YThSQURnZjdKVzEtZEx4TGZ1b1ZVQkdsU1hhQV9qRmR5c1FSSnpRN3BSdw?oc=5
2026-09-22,Aehr Test Systems,US,AEHR,小型〜中小型,関与候補,0.74,光通信,特許・技術,22,2.379684105679103,-12.280235743001189,-28.03232012510527,18.5,96.93000030517578,3165689803.7469025,-421.4347839355469,14.342271730856812,63.31252982434156,-288.25155976132123,-0.23,,,NA,50001000.0,58968000.0,-15.206552706552712,-14143000.0,-4813000.0,,-28.28543429131417,-7126000.0,-3910000.0,-14.251714965700685,6.758343596059113,-4.1626020059465745,-9.38404034148715,-3310000.0,-5376000.0,116358000.0,9882000.0,106476000.0,4.501824509933443,Other Non Operating Income Expenses,,,赤字・要注意,OK,84.2,OK,2026-09-22,2026-05-31,直近年次決算ベース（株価のみ最新）,Google News RSS; Yahoo Finance/yfinance,OK,利益品質:赤字・要注意,Aehr wins new silicon photonics test deal tied to AI data centers - Stock Titan,2026-06-17T16:00:00+09:00,https://news.google.com/rss/articles/CBMivwFBVV95cUxOU05PTTJxaWk4aVRPaTNEcWlzYXNrYURfTEZUb2U4aDZOUlg0NmdYUnptRl9DRUV0aElneTluTE1JOW5lOU13ek5XQlZwZ0RxQnlzYXpOQmtUMTZNNlR3MEN1bjhaZV95czFzQ2EtYm5KNTJqR0xxS3N5Y0ZsazJmQ1BqcVdBdDZlakx0MW8wODFyMktEcVl3cmpvaEMzUTNyaUhubE1DWUx0V01rcE1UMTFUemtDbEstOW9hZnA1aw?oc=5
